JD,X,Y,Z,VX,VY,VZ
2460872.50000000,6.2695579037950894e-02,-4.0119166704647844e+00,2.6715422329039157e-01,-1.3853099266033460e-02,3.2773723770102674e-02,-1.4860136902155997e-03
2460872.60000000,6.1310267664978428e-02,-4.0086392066590228e+00,2.6700561583860416e-01,-1.3853127454730841e-02,3.2775551320336604e-02,-1.4861353149980331e-03
2460872.70000000,5.9924953501264075e-02,-4.0053615599476906e+00,2.6685699621272757e-01,-1.3853155080387420e-02,3.2777381882617133e-02,-1.4862571720991786e-03
2460872.80000000,5.8539636609707804e-02,-4.0020837300444949e+00,2.6670836439019086e-01,-1.3853182140100709e-02,3.2779215463946160e-02,-1.4863792621423642e-03
2460872.90000000,5.7154317034147882e-02,-3.9988057166166535e+00,2.6655972034628411e-01,-1.3853208630954414e-02,3.2781052071371303e-02,-1.4865015857547180e-03
2460873.00000000,5.5768994838067562e-02,-3.9955275193764672e+00,2.6641106405831122e-01,-1.3853234550017602e-02,3.2782891711934700e-02,-1.4866241435637655e-03
2460873.10000000,5.4383670078793050e-02,-3.9922491380202687e+00,2.6626239550282105e-01,-1.3853259894345134e-02,3.2784734392707245e-02,-1.4867469361997104e-03
2460873.20000000,5.2998342813945769e-02,-3.9889705722436832e+00,2.6611371465629940e-01,-1.3853284660977476e-02,3.2786580120780125e-02,-1.4868699642948760e-03
2460873.30000000,5.1613013107894755e-02,-3.9856918217568928e+00,2.6596502149586104e-01,-1.3853308846940490e-02,3.2788428903256256e-02,-1.4869932284831372e-03
2460873.40000000,5.0227681005954351e-02,-3.9824128862235648e+00,2.6581631599647992e-01,-1.3853332449245822e-02,3.2790280747284808e-02,-1.4871167294022273e-03
2460873.50000000,4.8842346573091326e-02,-3.9791337653524539e+00,2.6566759813514346e-01,-1.3853355464890148e-02,3.2792135660009582e-02,-1.4872404676903018e-03
2460873.60000000,4.7457009868122547e-02,-3.9758544588363338e+00,2.6551886788808271e-01,-1.3853377890855542e-02,3.2793993648603532e-02,-1.4873644439882415e-03
2460873.70000000,4.6071670950167419e-02,-3.9725749663672567e+00,2.6537012523146469e-01,-1.3853399724109299e-02,3.2795854720260219e-02,-1.4874886589390872e-03
2460873.80000000,4.4686329885100379e-02,-3.9692952876518279e+00,2.6522137014208441e-01,-1.3853420961603739e-02,3.2797718882185169e-02,-1.4876131131874714e-03
2460873.90000000,4.3300986719748337e-02,-3.9660154223501149e+00,2.6507260259459442e-01,-1.3853441600276548e-02,3.2799586141630734e-02,-1.4877378073819402e-03
2460874.00000000,4.1915641520598235e-02,-3.9627353701672754e+00,2.6492382256566038e-01,-1.3853461637050084e-02,3.2801456505843998e-02,-1.4878627421714894e-03
